<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,W,20150810,000000,48.4200000,51.6900000,48.2400000,48.6200000,767426
ICE.BRN,W,20150817,000000,48.6400000,49.4400000,45.0700000,45.4200000,731865
ICE.BRN,W,20150824,000000,45.3600000,50.9800000,42.2300000,49.4500000,1302041
ICE.BRN,W,20150831,000000,49.3800000,54.3200000,47.7400000,49.3500000,1337048
ICE.BRN,W,20150907,000000,49.3100000,50.0400000,46.7600000,49.1300000,570321
ICE.BRN,W,20150914,000000,49.2000000,50.3400000,47.0100000,47.5700000,786616
ICE.BRN,W,20150921,000000,47.5800000,50.2500000,47.4000000,48.3900000,713677
ICE.BRN,W,20150928,000000,48.3500000,49.8300000,46.9300000,47.8800000,809545
ICE.BRN,W,20151005,000000,47.8500000,54.0500000,47.8400000,52.8100000,673615
ICE.BRN,W,20151012,000000,52.8400000,53.6200000,48.7000000,50.6200000,720690
ICE.BRN,W,20151019,000000,50.6800000,50.6800000,47.4500000,47.9700000,690564
ICE.BRN,W,20151026,000000,47.9800000,50.0000000,46.4100000,49.3900000,712600
ICE.BRN,W,20151102,000000,49.3600000,50.9100000,47.2700000,47.4800000,695142
ICE.BRN,W,20151109,000000,47.4800000,48.4100000,44.1600000,44.6100000,744916
ICE.BRN,W,20151116,000000,44.5800000,45.5000000,43.1600000,44.4200000,784806
ICE.BRN,W,20151123,000000,44.4400000,46.5000000,43.5700000,44.8100000,697502
ICE.BRN,W,20151130,000000,44.8600000,45.7500000,42.4300000,42.9100000,901854
ICE.BRN,W,20151207,000000,42.8900000,43.0000000,37.7300000,38.2700000,872763
ICE.BRN,W,20151214,000000,38.2900000,39.6900000,36.4100000,36.4500000,970943
ICE.BRN,W,20151221,000000,36.4900000,38.1000000,35.9800000,37.7600000,482191
ICE.BRN,W,20151228,000000,37.6700000,37.9800000,36.1000000,38.3400000,377730
ICE.BRN,W,20160104,000000,38.3200000,38.9900000,32.1600000,32.9900000,888504
ICE.BRN,W,20160111,000000,32.9500000,33.7300000,28.8200000,28.1300000,1051764
ICE.BRN,W,20160118,000000,28.2400000,32.3000000,27.1000000,32.0800000,1049506
ICE.BRN,W,20160125,000000,32.6900000,36.1700000,29.2700000,35.9100000,961509
ICE.BRN,W,20160201,000000,35.9200000,36.2500000,32.2300000,33.8800000,1241171
ICE.BRN,W,20160208,000000,33.8500000,34.6800000,29.9200000,32.8500000,1157085
ICE.BRN,W,20160215,000000,32.8600000,35.7300000,31.8200000,32.9700000,1129082
ICE.BRN,W,20160222,000000,32.9900000,37.0000000,32.3700000,35.2300000,662588
ICE.BRN,W,20160229,000000,35.2500000,38.9500000,35.0800000,39.0100000,1148425
ICE.BRN,W,20160307,000000,39.0200000,41.4800000,38.8700000,40.3400000,1224709
ICE.BRN,W,20160314,000000,40.4200000,42.5400000,38.3300000,41.0600000,892908
ICE.BRN,W,20160321,000000,41.0800000,42.0800000,39.2200000,41.2000000,503957
ICE.BRN,W,20160328,000000,41.2000000,41.6200000,38.5500000,38.2800000,753105
ICE.BRN,W,20160404,000000,38.3000000,42.0100000,37.2700000,42.4400000,913507
ICE.BRN,W,20160411,000000,42.4300000,44.9400000,41.4100000,40.5800000,947678
ICE.BRN,W,20160418,000000,40.6800000,46.1800000,40.1000000,44.9800000,1061259
