"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 23, 2016","449.25","446.75","453.00","443.75","41.58K","0.50%"
"Jun 22, 2016","447.00","452.50","455.50","439.50","49.65K","0.22%"
"Jun 21, 2016","446.00","451.75","453.00","440.50","48.73K","-1.00%"
"Jun 20, 2016","450.50","442.25","453.25","441.00","46.24K","4.04%"
"Jun 17, 2016","433.00","422.50","441.75","422.50","48.77K","2.24%"
"Jun 16, 2016","423.50","434.50","436.50","419.25","59.60K","-3.97%"
"Jun 15, 2016","441.00","439.75","444.75","433.50","81.12K","-0.56%"
"Jun 14, 2016","443.50","446.00","447.25","440.00","61.09K","-1.93%"
"Jun 13, 2016","452.25","450.75","453.25","443.25","53.59K","-1.58%"
"Jun 10, 2016","459.50","459.25","459.25","453.50","8.57K","0.00%"
"Jun 09, 2016","459.50","470.00","470.50","457.50","34.91K","-1.08%"
"Jun 08, 2016","464.50","456.75","469.50","456.50","33.72K","1.81%"
"Jun 07, 2016","456.25","445.50","458.00","444.25","37.85K","2.53%"
"Jun 06, 2016","445.00","442.25","448.25","441.75","36.41K","0.45%"
"Jun 03, 2016","443.00","447.50","450.50","439.75","31.15K","-1.50%"
"Jun 02, 2016","449.75","446.25","455.00","441.25","56.37K","1.35%"
"Jun 01, 2016","443.75","444.00","448.00","436.00","32.98K","-2.15%"
"May 31, 2016","453.50","452.50","454.75","443.75","37.49K","0.28%"
"May 30, 2016","452.25","447.50","453.50","441.25","13.65K","0.84%"
"May 27, 2016","448.50","446.25","449.50","439.50","28.25K","0.06%"
"May 26, 2016","448.25","451.25","454.00","443.25","39.84K","0.17%"
"May 25, 2016","447.50","449.25","454.00","445.25","52.73K","0.06%"
"May 24, 2016","447.25","439.25","450.75","434.25","56.28K","1.94%"
"May 23, 2016","438.75","443.00","443.00","433.75","42.09K","-0.45%"
"May 20, 2016","440.75","437.50","443.25","434.50","67.47K","2.62%"
"May 19, 2016","429.50","440.75","440.75","427.00","69.64K","-3.21%"
"May 18, 2016","443.75","440.50","447.00","433.25","95.62K","1.54%"
"May 17, 2016","437.00","433.00","441.25","429.75","90.25K","1.57%"
"May 16, 2016","430.25","419.50","436.50","419.25","90.65K","2.75%"
"May 13, 2016","418.75","416.50","421.00","411.25","83.36K","1.39%"
"May 12, 2016","413.00","414.50","418.75","412.75","8.14K","0.00%"
"May 11, 2016","413.00","399.00","417.25","392.50","40.63K","5.02%"
"May 10, 2016","393.25","379.25","399.25","379.25","35.84K","3.28%"
"May 09, 2016","380.75","402.25","403.00","379.50","40.55K","-4.81%"
"May 06, 2016","400.00","393.75","402.25","386.75","27.51K","0.31%"
"May 05, 2016","398.75","399.00","409.75","391.00","33.49K","1.14%"
"May 04, 2016","394.25","398.00","405.00","390.25","28.40K","0.06%"
"May 03, 2016","394.00","403.75","407.75","392.75","28.00K","-3.96%"
"May 02, 2016","410.25","411.00","414.50","401.75","11.50K","-0.67%"
"Apr 29, 2016","413.00","416.75","421.50","408.50","46.91K","-0.54%"
"Apr 28, 2016","415.25","410.25","419.25","408.50","31.98K","3.17%"
"Apr 27, 2016","402.50","402.25","412.75","399.25","45.44K","1.39%"
"Apr 26, 2016","397.00","388.75","403.25","385.25","34.48K","1.02%"
"Apr 25, 2016","393.00","393.00","396.50","385.00","37.28K","-0.69%"
"Apr 22, 2016","395.75","391.75","400.00","389.00","37.75K","0.64%"
"Apr 21, 2016","393.25","397.00","400.75","387.75","62.70K","1.68%"
"Apr 20, 2016","386.75","374.25","398.25","368.25","58.07K","2.18%"
"Apr 19, 2016","378.50","371.75","382.75","367.25","69.08K","2.23%"
"Apr 18, 2016","370.25","362.50","375.00","346.25","94.97K","1.58%"
"Apr 15, 2016","364.50","373.50","375.25","357.50","75.19K","-3.25%"
